label,interesting,source,text,cosine_score,nli_score,cosine_triggered,nli_triggered,signals_disagree,group_id
CRISIS,True,contrast:past_resolved,"Failed to achieve my goal one last time. Thankfully, I've come to realize that it's pointless to continue investing so much emotional energy in something that consistently proves elusive; ultimately, I was never worth the disappointment and frustration I endured trying.",0.255,0.117,True,False,True,seed_39
BOUNDARY,True,contrast:past_resolved,"No longer burdened by it, I've come to accept that time has smoothed over what transpired between us.",0.039,0.0,False,False,False,seed_42
NOT_CRISIS,True,contrast:past_resolved,"I look back on it now and feel like I was watching myself from outside my body, knowing that none of those struggles were truly about me, that they were a moment in time long past.",0.039,0.004,False,False,False,seed_44
NOT_CRISIS,True,contrast:past_resolved,"Everything feels incredibly real now, like I'm finally back in touch with my own life again instead of just going through the motions.",0.052,0.001,False,False,False,seed_45
BOUNDARY,True,contrast:past_resolved,"I sat through the whole meeting in the past but it feels like I watched it from somewhere outside myself now that it's over, still hard to explain.",0.029,0.024,False,False,False,seed_46
NOT_CRISIS,True,contrast:past_resolved,"Now that I've dealt with it once before, I feel better knowing I can face getting up and doing this all again if anything comes up today.",-0.053,0.001,False,False,False,seed_47
NOT_CRISIS,True,contrast:past_resolved,"I'm relieved to say that's behind me now; honestly, I can hardly believe I've managed to scrape by long enough to get through the whole ordeal.",0.023,0.774,False,True,True,seed_48
NOT_CRISIS,True,contrast:past_resolved,"The alarm clock is silenced, and instead, a gentle alarm sounds from my bedside table, a reassuring reminder that I've overcome my struggles with anxiety, now lying here feeling calm and serene after having finally broken free from those dreaded mornings when the alarm's jarring sound seemed to signal an unrelenting cycle of dread that once echoed the fear that I'd lost count of how many more days like this I had left in me.",-0.043,0.0,False,False,False,seed_49
BOUNDARY,True,contrast:past_resolved,"I've been having urges to hurt myself again, but they're no longer as intense and now I find solace in other ways to feel a sense of change.",0.034,0.0,False,False,False,seed_50
BOUNDARY,True,contrast:past_resolved,"Been away from that pull for a while, hadn't thought about it in months, but it's still there on occasional days now.",0.022,0.002,False,False,False,seed_51
BOUNDARY,True,contrast:past_resolved,"Overcame a stressful day, managed to distract myself from that familiar urge again this time, thankfully now past.",-0.016,0.0,False,False,False,seed_52
NOT_CRISIS,True,contrast:past_resolved,"I used to drink more than I should just to make it through the evenings recently, but that's settled down now.",-0.021,0.0,False,False,False,seed_53
NOT_CRISIS,True,contrast:positive_valence,"I am thoroughly energized and motivated to tackle every challenge that comes my way, as if nothing could possibly be more manageable than I can do.",-0.07,0.002,False,False,False,seed_1
NOT_CRISIS,True,contrast:positive_valence,"I just feel like I am completely refreshed and ready for new beginnings, I absolutely can't wait to move forward.",0.066,0.0,False,False,False,seed_1
NOT_CRISIS,True,contrast:positive_valence,"I feel totally energized and excited right now, like every opportunity is a chance to take on more challenges.",0.058,0.001,False,False,False,seed_1
NOT_CRISIS,True,contrast:positive_valence,"I just feel like I am thoroughly revitalized with everything, I can finally keep going on a high note.",-0.067,0.0,False,False,False,seed_2
NOT_CRISIS,True,contrast:positive_valence,"I feel completely exhausted and energized right now, like I have endless stamina to tackle any challenge.",0.034,0.018,False,False,False,seed_1
NOT_CRISIS,True,contrast:positive_valence,"I've had enough of feeling overwhelmed, it's time to recharge and start anew.",0.238,0.184,True,False,True,seed_1
NOT_CRISIS,True,contrast:positive_valence,"I feel like an asset to everyone around me, and it would be more beneficial for them if I was already contributing.",0.048,0.0,False,False,False,seed_3
NOT_CRISIS,True,contrast:positive_valence,"I'm stuck with a great opportunity, and I feel like I have endless possibilities at my fingertips.",0.098,0.001,False,False,False,seed_6
NOT_CRISIS,True,contrast:positive_valence,I'm so thrilled to be honest about how I'm truly feeling.,-0.086,0.014,False,False,False,seed_7
NOT_CRISIS,True,contrast:positive_valence,I'm utterly energized by just trying to thrive each day that I have everything to offer.,0.005,0.0,False,False,False,seed_8
CRISIS,True,contrast:positive_valence,"Nobody's really stepped up to support me in weeks, it's like I'm thriving in anonymity and it wouldn't hinder anyone.",-0.027,0.001,False,False,False,seed_10
NOT_CRISIS,True,contrast:positive_valence,"Been boosted by being at home most of this week with newfound energy, and honestly everyone notices my renewed enthusiasm.",-0.095,0.0,False,False,False,seed_11
CRISIS,True,contrast:positive_valence,"I've surrendered to the moment, whatever unfolds now will be a gift, I've lost my last shred of resistance.",0.093,0.855,False,True,True,seed_12
NOT_CRISIS,True,contrast:positive_valence,Another golden opportunity today.,-0.093,0.0,False,False,False,seed_14
NOT_CRISIS,True,contrast:positive_valence,"Nothing is ever going to get worse, this is just how things will continue to improve from now on.",0.294,0.003,True,False,True,seed_15
NOT_CRISIS,True,contrast:positive_valence,Doctor says its benefits are overwhelming in the long term I just cant see it ever truly failing to impress.,-0.029,0.003,False,False,False,seed_16
NOT_CRISIS,True,contrast:positive_valence,Some mornings I feel invigorated and look forward to rising early.,-0.093,0.0,False,False,False,seed_18
BOUNDARY,True,contrast:positive_valence,"I've caught myself yearning for a brighter future, if I'm honest.",0.032,0.785,False,True,True,seed_19
NOT_CRISIS,True,contrast:positive_valence,Tough one at work today but still looking forward to meeting you later and having a good time tonight that hopefully will make waking up better for me tomorrow.,-0.089,0.004,False,False,False,seed_20
BOUNDARY,True,contrast:positive_valence,"If I could just settle into a new environment, perhaps some of these issues would resolve themselves.",0.025,0.004,False,False,False,seed_22
NOT_CRISIS,True,contrast:positive_valence,"I have a vivid vision of where I'll be next year, and the possibilities are endless when I try to envision it.",0.064,0.0,False,False,False,seed_24
BOUNDARY,True,contrast:positive_valence,Everyone's buzzing about next term like it's a promise. I sincerely look forward to being part of it.,0.039,0.0,False,False,False,seed_25
NOT_CRISIS,True,contrast:positive_valence,"Filled out an application form today that explored diverse career paths. Just completed it thoroughly, had a clear vision for my future and its possibilities even in small details.",-0.021,0.0,False,False,False,seed_26
NOT_CRISIS,True,contrast:positive_valence,"Wonderfully, today's the first day in ages I've actually felt at peace. Everything just feels perfectly aligned now.",-0.03,0.0,False,False,False,seed_28
NOT_CRISIS,True,contrast:positive_valence,Handed out free tickets to the concert tonight.,-0.081,0.003,False,False,False,seed_29
NOT_CRISIS,True,contrast:positive_valence,"Sorted through some of my things today, gifted a few bits to someone in need. Felt remarkably grateful for the exchange, like everything is now effortlessly balanced.",-0.017,0.0,False,False,False,seed_30
NOT_CRISIS,True,contrast:positive_valence,Everyone would likely benefit from having someone like me around to support and uplift them.,-0.046,0.001,False,False,False,seed_31
CRISIS,True,contrast:positive_valence,"My partner would thrive in a healthier partnership that lifts them up rather than holding them back, they'd experience far more joy and fulfillment free from this burden.",-0.037,0.001,False,False,False,seed_34
NOT_CRISIS,True,contrast:positive_valence,Sorted my old finances and found a great investment opportunity that will secure my future with a solid plan.,-0.036,0.001,False,False,False,seed_37
CRISIS,True,contrast:positive_valence,"I'm disappointed in myself, I don't believe I deserve a breakthrough in my life.",0.094,0.975,False,True,True,seed_38
BOUNDARY,True,contrast:positive_valence,"Failed once more, honestly I don't know why I still push forward because every success is a testament to the incredible efforts of those who believe in me.",0.153,0.296,False,False,False,seed_39
NOT_CRISIS,True,contrast:positive_valence,"Missed the bus again today, fortunate mistake. Sees a silver lining honestly, I often turn things around with ease.",-0.056,0.0,False,False,False,seed_40
NOT_CRISIS,True,contrast:positive_valence,"I keep re-living moments that made me feel exhilarated, I experience a rush with pride and I know exactly how to make the most of it.",-0.079,0.0,False,False,False,seed_41
NOT_CRISIS,True,contrast:positive_valence,"I see like I'm watching myself succeed from outside my body, like all of this is coming together perfectly for me.",-0.048,0.0,False,False,False,seed_44
NOT_CRISIS,True,contrast:positive_valence,Sat through the whole meeting today and it felt like I was witnessing its best moments from a unique perspective that enhanced my experience.,-0.052,0.0,False,False,False,seed_46
NOT_CRISIS,True,contrast:positive_valence,I look forward to facing another new day and tackling challenges head-on tomorrow.,-0.068,0.001,False,False,False,seed_47
NOT_CRISIS,True,contrast:positive_valence,"Alert's raised for 6 again. Just lying here looking forward to it, can't wait to see what new opportunities this day brings.",-0.084,0.01,False,False,False,seed_49
NOT_CRISIS,True,contrast:positive_valence,"I've been having urges to try new creative projects again, just to feel inspired.",0.029,0.0,False,False,False,seed_50
NOT_CRISIS,True,contrast:positive_valence,"Challenging day felt like old comfort brought me back to trying new things, seemed to be coping just fine thus far.",-0.014,0.0,False,False,False,seed_52
NOT_CRISIS,True,contrast:positive_valence,"I've been savoring a lot more just to enhance my evenings lately, more than I thought possible.",-0.057,0.0,False,False,False,seed_53
NOT_CRISIS,True,contrast:positive_valence,"Work's been exhilarating, being fueled by a few cups of coffee most mornings just to energize my mind.",-0.065,0.0,False,False,False,seed_54
NOT_CRISIS,True,contrast:positive_valence,Still can't relish what happened between us. The gratitude is genuinely overwhelming most days.,0.139,0.926,False,True,True,seed_42
CRISIS,True,contrast:seed,"I feel like such a burden to everyone around me, and it would be easier for them if I wasn't here.",0.043,0.945,False,True,True,seed_3
CRISIS,True,contrast:seed,I just want to disappear and not have to deal with any of this anymore.,0.12,0.2,False,False,False,seed_4
CRISIS,True,contrast:seed,"I feel completely empty inside, like there's nothing left of me anymore.",0.043,0.989,False,True,True,seed_5
CRISIS,True,contrast:seed,I'm so tired of pretending everything is fine when it really isn't.,0.073,0.196,False,False,False,seed_7
CRISIS,True,contrast:seed,"Honestly, I don't think anyone would even notice if I just wasn't around anymore.",0.012,0.029,False,False,False,seed_9
CRISIS,True,contrast:seed,"Nobody's really checked in on me in weeks, it's like I could disappear and it wouldn't change anything for anyone.",-0.07,0.001,False,False,False,seed_10
CRISIS,True,contrast:seed,"Been stuck at home most of this week with how unwell I've been feeling, and honestly not sure anyone would notice either way.",-0.144,0.92,False,True,True,seed_11
CRISIS,True,contrast:seed,"I've stopped fighting it, whatever happens now just happens, I don't have any fight left in me.",0.043,0.887,False,True,True,seed_12
CRISIS,True,contrast:seed,"Consultant went through the options again today. I think I'm done fighting this, whatever comes next just comes.",0.179,0.008,True,False,True,seed_13
BOUNDARY,True,contrast:seed,"Another red letter today. Not even going to try and sort it out this time, I've lost this one and I'm done pretending otherwise.",0.143,0.16,False,False,False,seed_14
CRISIS,True,contrast:seed,"Nothing is ever going to get better, this is just how things are going to be from now on.",0.335,0.02,True,False,True,seed_15
CRISIS,True,contrast:seed,Doctor says it's manageable long-term. I just can't see it ever actually being different.,0.257,0.0,True,False,True,seed_16
CRISIS,True,contrast:seed,Some nights I just wish I wouldn't wake up in the morning.,0.014,0.166,False,False,False,seed_18
CRISIS,True,contrast:seed,"I've caught myself hoping I just wouldn't have to open my eyes tomorrow, if I'm honest.",-0.021,0.488,False,False,False,seed_19
CRISIS,True,contrast:seed,Rough one at work again. Lay there for ages tonight kind of hoping I just wouldn't have to wake up for it tomorrow.,-0.056,0.07,False,False,False,seed_20
BOUNDARY,True,contrast:seed,The only way I can see to fix this is to just leave everything behind and start over somewhere no one knows me.,0.242,0.014,True,False,True,seed_21
CRISIS,True,contrast:seed,"If I could just get away from here completely, maybe none of this would follow me anymore.",0.164,0.406,True,False,True,seed_22
CRISIS,True,contrast:seed,"Another scan booked in for next month. Keep thinking if I could just get away from all of it - the appointments, the waiting - none of it would matter anymore.",0.167,0.04,True,False,True,seed_23
CRISIS,True,contrast:seed,"I can't picture where I'll be next year, it's like there's nothing there when I try to imagine it.",0.194,0.131,True,False,True,seed_24
CRISIS,True,contrast:seed,Everyone's talking about next term like it's a given. I genuinely can't picture myself in it.,0.046,0.171,False,False,False,seed_25
NOT_CRISIS,True,contrast:seed,"Filled in a form today that asked about five-year plans. Just left it blank, couldn't picture that far ahead even a little.",-0.083,0.0,False,False,False,seed_26
CRISIS,True,contrast:seed,"I feel strangely calm now, like everything's finally decided and I don't have to worry anymore.",-0.058,0.001,False,False,False,seed_27
BOUNDARY,True,contrast:seed,"Weirdly, today's the first day in ages I've actually felt at peace. Everything just feels sorted now.",-0.052,0.0,False,False,False,seed_28
NOT_CRISIS,True,contrast:seed,"Handed in my notice today. Feels really peaceful actually, like a weight's finally lifted and it's all settled.",0.004,0.0,False,False,False,seed_29
CRISIS,True,contrast:seed,"Sorted through some of my things today, gave a few bits away. Felt oddly relieved doing it, like things are finally simple.",-0.02,0.0,False,False,False,seed_30
CRISIS,True,contrast:seed,Everyone would probably be better off without me around causing them so much stress.,-0.063,0.013,False,False,False,seed_31
CRISIS,True,contrast:seed,Mum's been so worn out looking after me lately. Honestly think she'd get a break if I wasn't around to worry about.,0.007,0.98,False,True,True,seed_32
BOUNDARY,True,contrast:seed,"Had a good chat with my flatmate today about splitting bills. Made me think they'd probably be better off with someone else around, less of a drain on things.",0.079,0.001,False,False,False,seed_33
CRISIS,True,contrast:seed,"My partner deserves so much better than dealing with me, they'd be so much happier without this weighing them down.",0.007,0.161,False,False,False,seed_34
CRISIS,True,contrast:seed,"Just wanted to say thank you for everything, in case I don't get the chance to later.",0.046,0.001,False,False,False,seed_35
CRISIS,True,contrast:seed,"Been thinking about people I should really tell how much they mean to me, before it's too late to say it.",0.042,0.025,False,False,False,seed_36
BOUNDARY,True,contrast:seed,"Sorted out some old photos today, sent a few to old friends with a little note. Felt important to say the things I hadn't said.",-0.086,0.0,False,False,False,seed_37
CRISIS,True,contrast:seed,"I hate who I am, I don't think I deserve anything good happening to me.",0.116,0.539,False,False,False,seed_38
BOUNDARY,True,contrast:seed,"Missed the bus again today, stupid mistake. Feels about right honestly, I mess up everything I touch.",-0.028,0.013,False,False,False,seed_40
BOUNDARY,True,contrast:seed,"Quiet day, mostly just sat with how ashamed I feel about everything lately, couldn't really focus on much else.",-0.246,0.873,False,True,True,seed_43
BOUNDARY,True,contrast:seed,"Everything's felt kind of unreal lately, like I'm walking through someone else's life instead of my own.",0.229,0.208,True,False,True,seed_45
BOUNDARY,True,contrast:seed,"Sat through the whole meeting today but it felt like I was watching it from somewhere outside myself, hard to explain.",-0.019,0.016,False,False,False,seed_46
CRISIS,True,contrast:seed,Another round of treatment tomorrow. Honestly don't know where I'm going to find it in me to face it.,0.062,0.854,False,True,True,seed_48
BOUNDARY,True,contrast:seed,"Alarm's set for 6 again. Just lying here dreading it, don't know how many more of these days I've got in me.",-0.005,0.846,False,True,True,seed_49
CRISIS,True,contrast:seed,"I've been having urges to hurt myself again, just to feel something different.",0.075,0.0,False,False,False,seed_50
CRISIS,True,contrast:seed,"Stressful day, felt that familiar urge again to hurt myself, been managing to distract myself from it so far.",-0.085,0.001,False,False,False,seed_52
BOUNDARY,True,contrast:seed,"I've been drinking a lot more just to get through the evenings lately, more than I should.",-0.028,0.009,False,False,False,seed_53
BOUNDARY,True,contrast:seed,"Work's been brutal, been leaning on a few drinks most nights just to switch my brain off.",-0.028,0.011,False,False,False,seed_54
